id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,total_params,smape,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,mlp.3.weight_mean,mlp.3.weight_median,mlp.3.weight_std,mlp.3.weight_max,mlp.3.weight_min,mlp.4.weight_mean,mlp.4.weight_median,mlp.4.weight_std,mlp.4.weight_max,mlp.4.weight_min,mlp.5.weight_mean,mlp.5.weight_median,mlp.5.weight_std,mlp.5.weight_max,mlp.5.weight_min,mlp.6.weight_mean,mlp.6.weight_median,mlp.6.weight_std,mlp.6.weight_max,mlp.6.weight_min,mlp.7.weight_mean,mlp.7.weight_median,mlp.7.weight_std,mlp.7.weight_max,mlp.7.weight_min,mlp.8.weight_mean,mlp.8.weight_median,mlp.8.weight_std,mlp.8.weight_max,mlp.8.weight_min,mlp.9.weight_mean,mlp.9.weight_median,mlp.9.weight_std,mlp.9.weight_max,mlp.9.weight_min,mlp.10.weight_mean,mlp.10.weight_median,mlp.10.weight_std,mlp.10.weight_max,mlp.10.weight_min,mlp.11.weight_mean,mlp.11.weight_median,mlp.11.weight_std,mlp.11.weight_max,mlp.11.weight_min
Gluonts_m1_monthly_num_layers_1_hidden_size_4_max_steps_100,Gluonts,m1_monthly,12,8,1,4,100,92,0.4152769148349762,0.03649719059467316,0.01324465125799179,0.16389338672161102,0.35731789469718933,-0.2993621528148651,0.08828166872262955,0.1481817215681076,0.2860340178012848,0.5690655708312988,-0.360154390335083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_4_max_steps_200,Gluonts,m1_monthly,12,8,1,4,200,92,0.2094801515340805,0.04908144474029541,0.009877398610115051,0.1691626012325287,0.38336336612701416,-0.30012384057044983,0.11143721640110016,0.22356849908828735,0.28171631693840027,0.47108203172683716,-0.34623396396636963,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_4_max_steps_300,Gluonts,m1_monthly,12,8,1,4,300,92,0.10231985151767731,0.05967225506901741,0.01088473666459322,0.17222510278224945,0.408891886472702,-0.3003859519958496,0.11862004548311234,0.2462887465953827,0.27936339378356934,0.5454283356666565,-0.34382525086402893,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_4_max_steps_500,Gluonts,m1_monthly,12,8,1,4,500,92,0.08311881870031357,0.07340493053197861,0.04251672700047493,0.1688595414161682,0.4063544273376465,-0.30010032653808594,0.09536486864089966,0.23958763480186462,0.2917572259902954,0.5540623068809509,-0.44189882278442383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_8_max_steps_100,Gluonts,m1_monthly,12,8,1,8,100,176,0.3263130187988281,0.05410504341125488,0.043970949947834015,0.15869218111038208,0.36008283495903015,-0.2921689748764038,0.09547983109951019,0.13487666845321655,0.210468128323555,0.4560060501098633,-0.3055983781814575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_8_max_steps_200,Gluonts,m1_monthly,12,8,1,8,200,176,0.12997868657112122,0.06987080723047256,0.07444582879543304,0.16071388125419617,0.38711273670196533,-0.2900034189224243,0.11980563402175903,0.14632850885391235,0.20275065302848816,0.4948665499687195,-0.3020879328250885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_8_max_steps_300,Gluonts,m1_monthly,12,8,1,8,300,176,0.08415752649307251,0.0724138543009758,0.07344977557659149,0.16159893572330475,0.39864733815193176,-0.2891758680343628,0.1231580376625061,0.1515115648508072,0.200691819190979,0.4894520938396454,-0.2940966486930847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_8_max_steps_500,Gluonts,m1_monthly,12,8,1,8,500,176,0.08427219092845917,0.07059591263532639,0.08410108089447021,0.161724254488945,0.39959317445755005,-0.2922874391078949,0.1246144101023674,0.15176251530647278,0.20027273893356323,0.47929584980010986,-0.28617772459983826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_12_max_steps_100,Gluonts,m1_monthly,12,8,1,12,100,260,0.22373013198375702,0.03883029520511627,0.04080220311880112,0.1721862554550171,0.3732444643974304,-0.2997443675994873,0.06110328435897827,0.039691124111413956,0.18243734538555145,0.3734520673751831,-0.2449752688407898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gluonts_m1_monthly_num_layers_1_hidden_size_12_max_steps_200,Gluonts,m1_monthly,12,8,1,12,200,260,0.08492710441350937,0.04552728682756424,0.04966235160827637,0.17156971991062164,0.38796380162239075,-0.29910963773727417,0.07498860359191895,0.043844595551490784,0.18106016516685486,0.45876309275627136,-0.2986266016960144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
