id,dataset_name,dataset_group,input_size,horizon,num_layers,hidden_size,max_steps,learning_rate,batch_size,scaler_type,total_params,smape,is_better,mlp.0.weight_mean,mlp.0.weight_median,mlp.0.weight_std,mlp.0.weight_max,mlp.0.weight_min,mlp.1.weight_mean,mlp.1.weight_median,mlp.1.weight_std,mlp.1.weight_max,mlp.1.weight_min,mlp.2.weight_mean,mlp.2.weight_median,mlp.2.weight_std,mlp.2.weight_max,mlp.2.weight_min,out.weight_mean,out.weight_median,out.weight_std,out.weight_max,out.weight_min
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_32_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,100,0.001,32,identity,320,0.2829950451850891,False,0.06494813412427902,0.054691560566425323,0.16567175090312958,0.37471428513526917,-0.2927524149417877,0.057836417108774185,0.08017195016145706,0.22887195646762848,0.45294904708862305,-0.32566338777542114,0.05459243059158325,0.003961981274187565,0.22941263020038605,0.4333634674549103,-0.30428311228752136,0.0968356803059578,0.10132460296154022,0.19398607313632965,0.428039014339447,-0.25603270530700684
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_32_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,100,0.001,32,standard,320,0.07914040237665176,True,0.009816843084990978,0.03742304816842079,0.1597624123096466,0.281595915555954,-0.30578377842903137,0.00552096962928772,0.0521201565861702,0.21687628328800201,0.3655247986316681,-0.43207067251205444,0.012020567432045937,-0.02228080853819847,0.22832557559013367,0.46098583936691284,-0.31713294982910156,0.034521929919719696,0.024300232529640198,0.19297462701797485,0.40549662709236145,-0.27050065994262695
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_32_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,100,0.001,32,robust,320,0.07898184657096863,True,0.015883328393101692,0.03566065430641174,0.16087564826011658,0.27965304255485535,-0.3662838339805603,0.02579847350716591,0.07909809052944183,0.2094135582447052,0.3627874255180359,-0.3969776928424835,0.01174138393253088,-0.027928974479436874,0.2324042022228241,0.46749308705329895,-0.35789012908935547,0.036996498703956604,0.026019496843218803,0.19167043268680573,0.40461620688438416,-0.26941633224487305
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_64_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,100,0.001,64,identity,320,0.22623243927955627,False,0.06794863194227219,0.059935033321380615,0.16590125858783722,0.37804633378982544,-0.29473719000816345,0.05467534810304642,0.07793748378753662,0.22932672500610352,0.44827038049697876,-0.3198707103729248,0.05651719868183136,0.00752782728523016,0.23020370304584503,0.4379962980747223,-0.30595746636390686,0.103457972407341,0.11152352392673492,0.19404123723506927,0.4406024217605591,-0.25811585783958435
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_64_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,100,0.001,64,standard,320,0.07911193370819092,True,0.014796022325754166,0.04362552613019943,0.16022630035877228,0.2990642488002777,-0.30754926800727844,0.0030105700716376305,0.042935341596603394,0.2146124541759491,0.38381320238113403,-0.4332938492298126,0.015809521079063416,-0.024426933377981186,0.22673648595809937,0.45748624205589294,-0.33457234501838684,0.041550830006599426,0.01805591583251953,0.19259794056415558,0.39868423342704773,-0.26248791813850403
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_64_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,100,0.001,64,robust,320,0.07883352041244507,True,0.01962524838745594,0.03986840695142746,0.16102144122123718,0.2960130572319031,-0.3356090784072876,0.026214366778731346,0.07820086926221848,0.20750342309474945,0.3816963732242584,-0.3985963761806488,0.01357992272824049,-0.027023348957300186,0.2324856072664261,0.46721357107162476,-0.3592458963394165,0.04423534870147705,0.028470411896705627,0.1917201578617096,0.4023553729057312,-0.2577461004257202
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_128_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,100,0.001,128,identity,320,0.2004539519548416,False,0.06696207076311111,0.05819850414991379,0.16552335023880005,0.3760145902633667,-0.2930853068828583,0.05403810739517212,0.07720824331045151,0.22873950004577637,0.44647008180618286,-0.3257392346858978,0.05639069899916649,0.00568593991920352,0.2299332171678543,0.44402754306793213,-0.30549606680870056,0.1059373989701271,0.11823941767215729,0.19272582232952118,0.44937077164649963,-0.2541488707065582
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_128_scaler_type_standard,Gluonts,m1_monthly,12,8,3,8,100,0.001,128,standard,320,0.07919560372829437,True,0.017243266105651855,0.04596441984176636,0.1600661277770996,0.3018762767314911,-0.31795406341552734,0.003868565894663334,0.05316149815917015,0.2164432853460312,0.37301692366600037,-0.43862366676330566,0.013121720403432846,-0.026293551549315453,0.22771957516670227,0.4615664482116699,-0.317289799451828,0.03641226887702942,0.022708086296916008,0.19256378710269928,0.39584025740623474,-0.2747044861316681
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.001_batch_size_128_scaler_type_robust,Gluonts,m1_monthly,12,8,3,8,100,0.001,128,robust,320,0.0788206160068512,True,0.022511759772896767,0.04521162807941437,0.16080297529697418,0.3021450340747833,-0.34335342049598694,0.028448034077882767,0.08387881517410278,0.21093861758708954,0.37148037552833557,-0.4128779172897339,0.015875739976763725,-0.02851707860827446,0.23085802793502808,0.46900737285614014,-0.34975284337997437,0.041249729692935944,0.03473380208015442,0.1919795423746109,0.4027232229709625,-0.2684454917907715
Gluonts_m1_monthly_hidden_size_8_max_steps_100_learning_rate_0.0005_batch_size_32_scaler_type_identity,Gluonts,m1_monthly,12,8,3,8,100,0.0005,32,identity,320,0.6872063875198364,False,0.03686225786805153,0.029550207778811455,0.16032631695270538,0.3381619155406952,-0.28619933128356934,0.04134198650717735,0.07522359490394592,0.219950869679451,0.4004194736480713,-0.32703182101249695,0.032283686101436615,0.0073598166927695274,0.22427168488502502,0.4046527147293091,-0.30732616782188416,0.05502310022711754,0.043453335762023926,0.19504468142986298,0.39968639612197876,-0.26449137926101685
