,start,step_10,step_25,step_50,step_100,step_200,step_300,step_400,step_500
weights_start_mlp.0.weight_input_size,0.004282128997147083,0.002623801352456212,0.002154032001271844,0.0022008612286299467,0.0022008612286299467,0.0016477903118357062,0.0016341597074642777,0.0013402519980445504,0.0013402519980445504
weights_start_mlp.0.weight_output_size,0.001988040516152978,0.0022374121472239494,0.0013506002724170685,0.0015224091475829482,0.0015224091475829482,0.00216842838563025,0.0018146536312997341,0.0014897572109475732,0.0014897572109475732
weights_start_mlp.0.weight_mean,0.010565889067947865,0.007902642711997032,0.005047049839049578,0.0028347743209451437,0.0028347743209451437,0.002135220216587186,0.0017539981054142118,0.0015325149288401008,0.0015325149288401008
weights_start_mlp.0.weight_median,0.003074590116739273,0.0030057982075959444,0.0013418026501312852,0.0018925908952951431,0.0018925908952951431,0.0020293931011110544,0.0018354292260482907,0.0017792863072827458,0.0017792863072827458
weights_start_mlp.0.weight_std,0.006024358328431845,0.005175992380827665,0.003541062818840146,0.0017042424296960235,0.0017042424296960235,0.002238005632534623,0.0014247955987229943,0.0008894777856767178,0.0008894777856767178
weights_start_mlp.0.weight_max,0.009551060386002064,1.868030174989599e-09,0.0032996514346450567,0.001999257132411003,0.001999257132411003,0.0007381250034086406,0.001752063981257379,0.0008273735293187201,0.0008273735293187201
weights_start_mlp.0.weight_min,0.01649441011250019,0.0043903314508497715,1.365260238195276e-09,0.0007492914446629584,0.0007492914446629584,0.0008725942461751401,0.0020106378942728043,0.0004187461454421282,0.0004187461454421282
weights_start_mlp.0.weight_var,0.005321842152625322,0.0,0.0,5.232491662177097e-10,5.232491662177097e-10,0.0012311007594689727,0.0,0.0,0.0
weights_start_mlp.0.weight_frobenius_norm,0.007893580012023449,0.002993636066094041,0.0018160020699724555,0.0011027147993445396,0.0011027147993445396,0.0007061392534524202,0.0006437832489609718,0.0006551883998326957,0.0006551883998326957
weights_start_mlp.0.weight_spectral_norm,0.008774512447416782,0.0,0.0,0.00028313923394307494,0.00028313923394307494,0.00014789732813369483,0.00049889727961272,0.0007208129391074181,0.0007208129391074181
weights_start_mlp.0.weight_alpha,0.06984024494886398,0.0012533218832686543,0.0018028332851827145,0.0005415749037638307,0.0005415749037638307,0.0004202921409159899,0.0011093918001279235,0.0007703460869379342,0.0007703460869379342
weights_start_mlp.0.weight_alpha_hat,0.02087310515344143,0.0029078794177621603,0.0006806505261920393,0.0020761776249855757,0.0020761776249855757,0.001594720408320427,0.0015407922910526395,0.0015473803505301476,0.0015473803505301476
weights_start_mlp.1.weight_input_size,0.0031178665813058615,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.1.weight_output_size,0.0038850356359034777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.1.weight_mean,0.007893587462604046,0.0,0.0,0.0004992047906853259,0.0004992047906853259,0.0005843604449182749,0.001127844676375389,0.0009579055476933718,0.0009579055476933718
weights_start_mlp.1.weight_median,0.010257097892463207,1.7612912239783896e-09,0.0011774491285905242,0.004449127241969109,0.004449127241969109,0.0011374772293493152,0.0007087814738042653,0.0002500494010746479,0.0002500494010746479
weights_start_mlp.1.weight_std,0.012581211514770985,0.0,0.0,4.495565031348292e-10,4.495565031348292e-10,0.00035453561577014625,0.0002640303282532841,0.0007060510106384754,0.0007060510106384754
weights_start_mlp.1.weight_max,0.005794804077595472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.1.weight_min,0.01004357635974884,0.0,0.0,0.0,0.0,0.0,0.0,0.00030776357743889093,0.00030776357743889093
weights_start_mlp.1.weight_var,0.01167724747210741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.1.weight_frobenius_norm,0.04523813724517822,0.0001475289900554344,6.155072007629769e-10,0.0012021004222333431,0.0012021004222333431,8.727833483135328e-05,0.0010389910312369466,0.00040645888657309115,0.00040645888657309115
weights_start_mlp.1.weight_spectral_norm,0.00802783016115427,0.003923187498003244,0.0023149161133915186,0.00180938804987818,0.00180938804987818,0.0010932033183053136,0.0025494983419775963,0.0021335058845579624,0.0021335058845579624
weights_start_mlp.1.weight_alpha,0.02372496761381626,0.014777052216231823,0.006168456748127937,0.008084827102720737,0.008084827102720737,0.006754187401384115,0.0062545426189899445,0.002270924858748913,0.002270924858748913
weights_start_mlp.1.weight_alpha_hat,0.013394362293183804,0.006840986665338278,0.0,0.005776157137006521,0.005776157137006521,0.004071381408721209,0.002976529998704791,0.002193945227190852,0.002193945227190852
weights_start_mlp.2.weight_input_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_output_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_mean,0.013183556497097015,7.478633823332359e-10,0.0010376042919233441,0.0013248584000393748,0.0013248584000393748,0.0,7.649489998584613e-05,0.0002026100264629349,0.0002026100264629349
weights_start_mlp.2.weight_median,0.10953829437494278,0.0015359526732936502,0.0009644529782235622,4.495565031348292e-10,4.495565031348292e-10,0.0027232905849814415,0.0,0.0,0.0
weights_start_mlp.2.weight_std,0.04160328209400177,0.0,0.0,0.0,0.0,0.0,8.82795502548106e-05,0.0,0.0
weights_start_mlp.2.weight_max,0.029152175411581993,7.478633823332359e-10,0.0,0.0,0.0,0.00010636654769768938,0.000521804962772876,0.0003781972627621144,0.0003781972627621144
weights_start_mlp.2.weight_min,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_var,0.026490338146686554,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_frobenius_norm,0.02756267972290516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_spectral_norm,0.0237779151648283,0.0,0.0,0.0011207603383809328,0.0011207603383809328,0.0008890057797543705,0.0,0.0007657254463993013,0.0007657254463993013
weights_start_mlp.2.weight_alpha,0.011642384342849255,0.007100168149918318,0.0034410012885928154,0.0012507721548900008,0.0012507721548900008,0.0009254980832338333,0.0009396242094226182,0.0007324840989895165,0.0007324840989895165
weights_start_mlp.2.weight_alpha_hat,0.01965685375034809,0.002616312587633729,1.365260238195276e-09,0.0,0.0,5.2064100600546226e-05,0.00024298374773934484,0.0005247552180662751,0.0005247552180662751
weights_start_out.weight_input_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_output_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_mean,0.008943206630647182,0.008201497606933117,0.005125137977302074,0.0006706269923597574,0.0006706269923597574,0.0008605296607129276,0.0022583052050322294,0.0021201130002737045,0.0021201130002737045
weights_start_out.weight_median,0.007749337702989578,0.0,0.0,0.0019208872690796852,0.0019208872690796852,0.0016907231183722615,0.0007226355955936015,7.292537129721666e-10,7.292537129721666e-10
weights_start_out.weight_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_max,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_min,0.004690512549132109,0.002030100906267762,0.003750823438167572,0.0028845060151070356,0.0028845060151070356,0.002524404786527157,0.0023045758716762066,0.0019641707185655832,0.0019641707185655832
weights_start_out.weight_var,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_frobenius_norm,0.04784056171774864,0.022160762920975685,0.020916929468512535,0.005625362042337656,0.005625362042337656,0.0031285600271075964,0.002876585116609931,0.0030490506906062365,0.0030490506906062365
weights_start_out.weight_spectral_norm,0.09509014338254929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_alpha,0.1462714672088623,0.040877893567085266,0.010704334825277328,0.010160665027797222,0.010160665027797222,0.0,0.0015660627977922559,0.0,0.0
weights_start_out.weight_alpha_hat,0.06648778915405273,0.00738914730027318,0.006911164149641991,0.0005828131106682122,0.0005828131106682122,0.0019047994865104556,0.0,0.0013230507029220462,0.0013230507029220462
weights_start_model_variance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.0.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.0.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.0.weight_mean,,0.003588469000533223,0.002753807231783867,0.0032767446245998144,0.0032767446245998144,0.0025402202736586332,0.0018388321623206139,0.0014554063091054559,0.0014554063091054559
weights_step_10_mlp.0.weight_median,,0.005533383693546057,0.003619022434577346,0.0020471024326980114,0.0020471024326980114,0.0019874924328178167,0.0015964936465024948,0.001329727005213499,0.001329727005213499
weights_step_10_mlp.0.weight_std,,0.006074944511055946,0.004182379227131605,0.0021706463303416967,0.0021706463303416967,0.0018315542256459594,0.001630033366382122,0.0017629683716222644,0.0017629683716222644
