,start,step_10,step_25,step_50,step_100,step_200,step_300,step_400,step_500
weights_start_mlp.0.weight_input_size,0.0015536723658442497,0.0035397799219936132,0.0041579557582736015,0.0010422723134979606,0.0010422723134979606,0.0011715437285602093,0.0010078741470351815,0.000698895484674722,0.000698895484674722
weights_start_mlp.0.weight_output_size,0.010981164872646332,0.006303110625594854,0.006626273971050978,0.0014796409523114562,0.0014796409523114562,0.0039775557816028595,0.003581857541576028,0.002837742678821087,0.002837742678821087
weights_start_mlp.0.weight_mean,0.00222195778042078,0.0026298013981431723,0.006044479552656412,0.0026357274036854506,0.0026357274036854506,0.003391048638150096,0.0036497358232736588,0.002133255824446678,0.002133255824446678
weights_start_mlp.0.weight_median,0.004363879561424255,0.00670974887907505,0.0018096977146342397,0.003050919622182846,0.003050919622182846,0.003262188984081149,0.003058462170884013,0.0026795470621436834,0.0026795470621436834
weights_start_mlp.0.weight_std,0.005561031401157379,0.0018081533489748836,0.0010894659208133817,0.00017527224554214627,0.00017527224554214627,0.0014049221063032746,0.0018265508115291595,0.0017741710180416703,0.0017741710180416703
weights_start_mlp.0.weight_max,0.005348909646272659,0.0004704983439296484,0.002957043005153537,2.561101246101316e-05,2.561101246101316e-05,0.0034426043275743723,0.00045856591896153986,5.5544020142406225e-05,5.5544020142406225e-05
weights_start_mlp.0.weight_min,0.005620047450065613,0.0004514305910561234,5.562544060921937e-07,6.96232245900319e-06,6.96232245900319e-06,1.6818324866108014e-06,1.3605215826828498e-05,9.458744898438454e-05,9.458744898438454e-05
weights_start_mlp.0.weight_var,0.002006084658205509,5.815807162434794e-05,4.2413175833644345e-05,2.9148888643248938e-05,2.9148888643248938e-05,0.0022634014021605253,0.0,2.1131845642230473e-05,2.1131845642230473e-05
weights_start_mlp.0.weight_frobenius_norm,0.030784139409661293,0.00010518595081521198,0.005630567669868469,0.00042104817111976445,0.00042104817111976445,0.002004925860092044,0.004821412265300751,0.00460827024653554,0.00460827024653554
weights_start_mlp.0.weight_spectral_norm,0.03732260689139366,0.0032021014485508204,3.4160919312853366e-05,0.007495865225791931,0.007495865225791931,0.003316418966278434,0.004253822844475508,0.001989783486351371,0.001989783486351371
weights_start_mlp.0.weight_alpha,0.01712167076766491,0.0003226201224606484,0.0,0.002623651409521699,0.002623651409521699,0.0010440998012199998,0.007817229256033897,0.005495402496308088,0.005495402496308088
weights_start_mlp.0.weight_alpha_hat,0.013522028923034668,0.011206311173737049,0.00042941246647387743,1.2418557844284805e-06,1.2418557844284805e-06,0.00228523020632565,0.003286423161625862,0.002070079790428281,0.002070079790428281
weights_start_mlp.1.weight_input_size,0.04036536440253258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.1.weight_output_size,0.018085435032844543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.1.weight_mean,0.023741021752357483,0.006632667500525713,0.0,0.0021809255704283714,0.0021809255704283714,0.0021430759225040674,0.0031963232904672623,0.0017322134226560593,0.0017322134226560593
weights_start_mlp.1.weight_median,0.021393349394202232,0.0003342109266668558,0.0,0.0024023817386478186,0.0024023817386478186,0.004560243338346481,0.005700665060430765,0.003442389890551567,0.003442389890551567
weights_start_mlp.1.weight_std,0.02959566004574299,4.238253677613102e-05,0.0,0.0,0.0,0.0024541406892240047,0.00010466668754816055,0.0018439757404848933,0.0018439757404848933
weights_start_mlp.1.weight_max,0.04073898866772652,0.0,0.0,0.0,0.0,2.1383673811214976e-05,0.0,0.0,0.0
weights_start_mlp.1.weight_min,0.07665408402681351,0.0,0.0,0.0,0.0,0.0022001469042152166,0.002150521846488118,7.421259056172858e-07,7.421259056172858e-07
weights_start_mlp.1.weight_var,0.03462734445929527,0.0,0.0,0.00017173931701108813,0.00017173931701108813,0.00010911188292084262,9.163440699921921e-05,0.0,0.0
weights_start_mlp.1.weight_frobenius_norm,0.09761998802423477,8.094611985143274e-05,0.0,0.0,0.0,0.002534914994612336,0.0,3.1206566291075433e-06,3.1206566291075433e-06
weights_start_mlp.1.weight_spectral_norm,0.02582095004618168,0.0,0.0,0.0022550856228917837,0.0022550856228917837,0.0032207889016717672,0.0011058967793360353,0.0,0.0
weights_start_mlp.1.weight_alpha,0.01349067222326994,0.0004664261650759727,0.0003208356793038547,6.642752396146534e-06,6.642752396146534e-06,0.0010826375801116228,0.0018405327573418617,8.311075362144038e-05,8.311075362144038e-05
weights_start_mlp.1.weight_alpha_hat,0.004227458033710718,0.000790011661592871,0.0005586571642197669,0.0004525686090346426,0.0004525686090346426,0.0005598690477199852,0.0006699846126139164,0.0005907317972742021,0.0005907317972742021
weights_start_mlp.2.weight_input_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_output_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_mean,0.009559866040945053,0.002371389651671052,0.0018414477817714214,1.850235457823146e-05,1.850235457823146e-05,0.002144443104043603,0.002360008889809251,0.004451208282262087,0.004451208282262087
weights_start_mlp.2.weight_median,0.010992921888828278,0.0028492535930126905,0.0,0.0020022920798510313,0.0020022920798510313,0.0,0.0018394202925264835,0.0022958822082728148,0.0022958822082728148
weights_start_mlp.2.weight_std,0.025206049904227257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_max,0.01210784912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_min,0.06825103610754013,0.0,0.0,0.0,0.0,0.0,1.0679476872610394e-05,0.0,0.0
weights_start_mlp.2.weight_var,0.011352772824466228,0.0,0.0,0.0,0.0,0.0,0.0,0.00010182973346672952,0.00010182973346672952
weights_start_mlp.2.weight_frobenius_norm,0.02329316921532154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_mlp.2.weight_spectral_norm,0.006960948929190636,0.0,0.0,8.728428656468168e-05,8.728428656468168e-05,0.00012176320888102055,0.00025616437778808177,5.424199116532691e-05,5.424199116532691e-05
weights_start_mlp.2.weight_alpha,0.007759887725114822,0.0,0.0,0.0,0.0,0.0,0.002885069465264678,0.0002600493317004293,0.0002600493317004293
weights_start_mlp.2.weight_alpha_hat,0.009854461066424847,0.0,0.0,0.0004715147952083498,0.0004715147952083498,0.0005230913520790637,0.0004371409013401717,1.1819493920484092e-05,1.1819493920484092e-05
weights_start_out.weight_input_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_output_size,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_mean,0.006804314907640219,0.00011494773934828117,0.0028693184722214937,0.00128380476962775,0.00128380476962775,0.002112622605636716,0.0001998877414735034,0.0029177870601415634,0.0029177870601415634
weights_start_out.weight_median,0.006754073780030012,0.0,0.002452192595228553,0.0005760055501013994,0.0005760055501013994,0.00032329437090083957,0.0,0.002820915775373578,0.002820915775373578
weights_start_out.weight_std,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_max,0.02696743793785572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_min,0.05564074590802193,0.0,0.0,0.00011175649706274271,0.00011175649706274271,0.00010924782691290602,0.0001049258207785897,9.572948329150677e-05,9.572948329150677e-05
weights_start_out.weight_var,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_start_out.weight_frobenius_norm,0.010138877667486668,0.0014791575958952308,0.0009550829418003559,0.00013263797154650092,0.00013263797154650092,0.0004516993649303913,0.000966356776189059,0.000870442483574152,0.000870442483574152
weights_start_out.weight_spectral_norm,0.030488373711705208,0.003013638546690345,0.0,1.403046462655766e-05,1.403046462655766e-05,1.4723363165103365e-05,0.0,0.0,0.0
weights_start_out.weight_alpha,0.03356214240193367,0.0009181498899124563,0.0,0.0,0.0,0.00016358176071662456,0.00015733919281046838,0.0,0.0
weights_start_out.weight_alpha_hat,0.04907805845141411,0.0,0.0,0.00033033904037438333,0.00033033904037438333,0.0,0.0001514848554506898,0.00025422757607884705,0.00025422757607884705
weights_start_model_variance,0.032459501177072525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.0.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.0.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.0.weight_mean,,0.004714504349976778,0.003391088917851448,0.002859662286937237,0.002859662286937237,0.003037946065887809,0.0026136927772313356,0.002550283679738641,0.002550283679738641
weights_step_10_mlp.0.weight_median,,0.003909611608833075,0.002439247677102685,0.001705905538983643,0.001705905538983643,0.0017759748734533787,0.0016588402213528752,0.0015957640716806054,0.0015957640716806054
weights_step_10_mlp.0.weight_std,,0.00468940194696188,0.0042680660262703896,0.0034614773467183113,0.0034614773467183113,0.0022808173671364784,0.0023876947816461325,0.001985761569812894,0.001985761569812894
weights_step_10_mlp.0.weight_max,,0.003228271147236228,0.002234384650364518,0.001093957107514143,0.001093957107514143,0.0011956434464082122,0.001417231629602611,0.0011899609817191958,0.0011899609817191958
weights_step_10_mlp.0.weight_min,,0.006205033976584673,0.004181040450930595,0.004692202899605036,0.004692202899605036,0.002346848836168647,0.00220801355317235,0.0027099952567368746,0.0027099952567368746
weights_step_10_mlp.0.weight_var,,0.009454428218305111,0.0065456232987344265,0.006968031171709299,0.006968031171709299,0.003988613840192556,0.0023833003360778093,0.004311340395361185,0.004311340395361185
weights_step_10_mlp.0.weight_frobenius_norm,,0.02059197798371315,0.0124817518517375,0.0034071782138198614,0.0034071782138198614,0.0017086194129660726,0.0021798955276608467,0.0012084761401638389,0.0012084761401638389
weights_step_10_mlp.0.weight_spectral_norm,,0.006827879697084427,0.0055516851134598255,0.0018473254749551415,0.0018473254749551415,0.0012047289637848735,0.0008991869981400669,0.0008829458965919912,0.0008829458965919912
weights_step_10_mlp.0.weight_alpha,,0.0029456557240337133,0.0011983484728261828,0.0030145682394504547,0.0030145682394504547,0.0026143447030335665,0.002038178965449333,0.001087240525521338,0.001087240525521338
weights_step_10_mlp.0.weight_alpha_hat,,0.011838901787996292,0.007868311367928982,0.0017741131596267223,0.0017741131596267223,0.0014141042483970523,0.0014885962009429932,0.0005963478470221162,0.0005963478470221162
weights_step_10_mlp.1.weight_input_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.1.weight_output_size,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
weights_step_10_mlp.1.weight_mean,,0.0218190997838974,0.015467335470020771,0.016496555879712105,0.016496555879712105,0.007938657887279987,0.008381948806345463,0.008839484304189682,0.008839484304189682
weights_step_10_mlp.1.weight_median,,0.01300150528550148,0.01209497731178999,0.005699293687939644,0.005699293687939644,0.002458978211507201,0.0021492361556738615,0.0034007185604423285,0.0034007185604423285
weights_step_10_mlp.1.weight_std,,0.006068381946533918,0.010865769349038601,0.0030991099774837494,0.0030991099774837494,0.0017821821384131908,0.0017511555925011635,0.0009518773294985294,0.0009518773294985294
weights_step_10_mlp.1.weight_max,,0.003896125592291355,0.005258568096905947,0.0038458879571408033,0.0038458879571408033,0.0063356030732393265,0.0025978342164307833,0.0036748519632965326,0.0036748519632965326
